# This file has been generated by fmt_fig1.py
#
# date: datetime
# rh: [%] average relative humidity
# rs: [W.m-2] sun radiation
# tc: [°C] average air temperature
#
date;rh;rs;tc
2014-08-19 12:00:00;45.4;891.8;24.3
2014-08-19 13:00:00;36.8;988.7;26.2
2014-08-19 14:00:00;28.9;1017.5;28.2
2014-08-19 15:00:00;25.0;790.6;30.3
2014-08-19 16:00:00;24.2;742.8;30.5
2014-08-19 17:00:00;26.8;402.3;30.1
2014-08-19 18:00:00;33.0;112.9;29.0
2014-08-19 19:00:00;42.6;52.2;26.7
2014-08-19 20:00:00;50.7;32.3;24.3
2014-08-19 21:00:00;55.5;0.0;21.9
2014-08-19 22:00:00;61.2;-4.6;20.1
2014-08-19 23:00:00;69.2;-3.7;18.5
2015-05-12 00:00:00;70.9;-2.5;16.3
2015-05-12 01:00:00;74.2;-2.5;16.1
2015-05-12 02:00:00;80.2;-2.1;15.5
2015-05-12 03:00:00;83.1;-0.9;15.0
2015-05-12 04:00:00;83.6;0.2;14.6
2015-05-12 05:00:00;88.4;1.4;13.0
2015-05-12 06:00:00;93.3;2.5;12.6
2015-05-12 07:00:00;85.4;36.5;15.0
2015-05-12 08:00:00;68.0;165.8;19.4
2015-05-12 09:00:00;49.4;357.9;23.6
2015-05-12 10:00:00;36.3;593.7;26.6
2015-05-12 11:00:00;31.0;792.6;28.9
2015-05-12 12:00:00;26.5;927.4;31.2
2015-05-12 13:00:00;20.9;1011.4;32.9
2015-05-12 14:00:00;17.5;905.7;34.1
2015-05-12 15:00:00;16.0;852.5;35.5
2015-05-12 16:00:00;14.1;768.8;36.1
2015-05-12 17:00:00;14.9;481.8;35.7
2015-05-12 18:00:00;18.1;226.8;33.9
2015-05-12 19:00:00;22.5;128.4;30.6
2015-05-12 20:00:00;29.1;46.8;27.1
2015-05-12 21:00:00;45.2;6.4;24.4
2015-05-12 22:00:00;61.3;1.6;22.2
2015-05-12 23:00:00;69.8;4.3;20.1
2015-06-03 00:00:00;49.6;-0.2;20.1
2015-06-03 01:00:00;51.7;-0.2;19.2
2015-06-03 02:00:00;56.4;-0.9;17.5
2015-06-03 03:00:00;62.4;-1.9;16.2
2015-06-03 04:00:00;66.0;-2.9;15.5
2015-06-03 05:00:00;67.7;-3.8;14.6
2015-06-03 06:00:00;69.6;-4.8;15.1
2015-06-03 07:00:00;63.8;55.5;16.5
2015-06-03 08:00:00;51.4;203.5;20.8
2015-06-03 09:00:00;38.8;419.5;25.6
2015-06-03 10:00:00;29.9;642.6;29.3
2015-06-03 11:00:00;24.0;850.3;31.9
2015-06-03 12:00:00;20.7;977.9;33.9
2015-06-03 13:00:00;18.6;1065.0;34.9
2015-06-03 14:00:00;16.8;1025.3;35.3
2015-06-03 15:00:00;14.7;973.6;35.9
2015-06-03 16:00:00;11.7;888.9;36.0
2015-06-03 17:00:00;11.0;695.7;35.9
2015-06-03 18:00:00;11.8;310.8;35.2
2015-06-03 19:00:00;14.4;213.2;33.1
2015-06-03 20:00:00;23.2;106.4;30.2
2015-06-03 21:00:00;33.9;23.7;27.0
2015-06-03 22:00:00;39.2;4.1;24.9
2015-06-03 23:00:00;43.5;1.4;23.5
2015-07-08 00:00:00;64.5;-2.2;20.6
2015-07-08 01:00:00;68.5;-2.2;19.9
2015-07-08 02:00:00;77.0;-2.5;18.6
2015-07-08 03:00:00;84.3;-3.4;17.4
2015-07-08 04:00:00;89.3;-4.2;16.6
2015-07-08 05:00:00;92.6;-5.1;16.3
2015-07-08 06:00:00;92.6;-5.9;16.3
2015-07-08 07:00:00;87.1;43.9;17.8
2015-07-08 08:00:00;74.3;170.1;19.4
2015-07-08 09:00:00;61.5;366.3;22.1
2015-07-08 10:00:00;50.9;609.9;25.4
2015-07-08 11:00:00;41.9;795.9;28.1
2015-07-08 12:00:00;33.7;938.4;30.5
2015-07-08 13:00:00;24.0;1005.1;33.0
2015-07-08 14:00:00;19.3;1022.9;35.3
2015-07-08 15:00:00;16.6;999.7;36.2
2015-07-08 16:00:00;14.7;920.1;36.8
2015-07-08 17:00:00;15.1;734.1;37.0
2015-07-08 18:00:00;16.0;289.0;36.3
2015-07-08 19:00:00;19.8;206.3;34.4
2015-07-08 20:00:00;25.2;92.3;32.0
2015-07-08 21:00:00;33.7;11.4;29.1
2015-07-08 22:00:00;43.1;1.9;26.2
2015-07-08 23:00:00;49.8;-1.6;24.0
2015-07-09 00:00:00;58.8;3.7;21.2
2015-07-09 01:00:00;61.5;3.7;20.4
2015-07-09 02:00:00;66.2;3.5;19.0
2015-07-09 03:00:00;71.2;3.2;17.6
2015-07-09 04:00:00;74.5;2.9;17.0
2015-07-09 05:00:00;76.3;2.6;16.4
2015-07-09 06:00:00;78.0;2.4;16.6
2015-07-09 07:00:00;71.1;43.8;18.5
2015-07-09 08:00:00;59.4;171.4;21.6
2015-07-09 09:00:00;47.9;356.1;25.3
2015-07-09 10:00:00;38.3;611.1;28.9
2015-07-09 11:00:00;30.2;849.6;32.6
2015-07-09 12:00:00;21.2;990.2;35.6
2015-07-09 13:00:00;17.6;1084.0;36.8
2015-07-09 14:00:00;16.9;1084.6;37.3
2015-07-09 15:00:00;16.4;1021.2;38.2
2015-07-09 16:00:00;15.3;924.0;37.4
2015-07-09 17:00:00;17.7;743.9;36.0
2015-07-09 18:00:00;24.0;322.1;33.7
2015-07-09 19:00:00;28.3;229.2;30.4
2015-07-09 20:00:00;39.9;95.4;27.1
2015-07-09 21:00:00;54.6;18.7;24.3
2015-07-09 22:00:00;64.7;9.4;22.1
2015-07-09 23:00:00;74.2;9.0;20.0
2015-08-13 00:00:00;75.2;3.9;16.0
2015-08-13 01:00:00;75.0;3.9;15.7
2015-08-13 02:00:00;74.6;4.2;15.2
2015-08-13 03:00:00;74.3;4.8;14.8
2015-08-13 04:00:00;74.2;5.5;14.4
2015-08-13 05:00:00;75.4;6.1;13.7
2015-08-13 06:00:00;75.1;6.7;13.1
2015-08-13 07:00:00;70.2;43.2;13.9
2015-08-13 08:00:00;60.0;128.0;16.0
2015-08-13 09:00:00;50.9;341.9;17.9
2015-08-13 10:00:00;43.7;605.8;19.9
2015-08-13 11:00:00;37.7;796.6;21.8
2015-08-13 12:00:00;31.5;929.6;23.9
2015-08-13 13:00:00;27.5;1022.5;25.3
2015-08-13 14:00:00;24.3;1058.3;26.4
2015-08-13 15:00:00;21.4;835.7;27.4
2015-08-13 16:00:00;22.5;799.2;27.8
2015-08-13 17:00:00;26.4;388.8;27.2
2015-08-13 18:00:00;30.3;145.3;26.4
2015-08-13 19:00:00;35.3;104.5;25.0
2015-08-13 20:00:00;42.8;43.9;23.2
2015-08-13 21:00:00;54.4;4.6;21.0
2015-08-13 22:00:00;62.3;-0.3;19.3
2015-08-13 23:00:00;67.6;0.9;18.0
2015-08-14 00:00:00;75.4;4.3;17.7
2015-08-14 01:00:00;77.6;4.3;17.1
2015-08-14 02:00:00;82.7;4.7;16.0
2015-08-14 03:00:00;88.6;5.4;15.0
2015-08-14 04:00:00;92.0;6.2;14.2
2015-08-14 05:00:00;94.4;6.9;14.0
2015-08-14 06:00:00;95.6;7.6;14.5
2015-08-14 07:00:00;91.7;35.8;15.5
2015-08-14 08:00:00;81.2;153.8;17.5
2015-08-14 09:00:00;64.6;366.1;19.9
2015-08-14 10:00:00;52.9;605.4;21.6
2015-08-14 11:00:00;45.1;799.2;22.9
2015-08-14 12:00:00;39.5;955.3;24.2
2015-08-14 13:00:00;35.1;1023.9;25.5
2015-08-14 14:00:00;31.3;1060.5;26.6
2015-08-14 15:00:00;27.8;837.5;27.1
2015-08-14 16:00:00;27.7;809.0;27.1
2015-08-14 17:00:00;28.7;462.6;26.6
2015-08-14 18:00:00;30.5;175.4;25.9
2015-08-14 19:00:00;33.9;115.3;24.0
2015-08-14 20:00:00;39.8;70.1;21.7
2015-08-14 21:00:00;49.3;18.2;19.9
2015-08-14 22:00:00;59.4;6.9;18.7
2015-08-14 23:00:00;67.8;5.7;17.8
